hindi,phon
अध्यक्ष, a dh y - a k sh
अध्यक्षता, a dh y - a k sh @ t aa
अध्यक्षत्व, a dh y - a k sh a t v @
अध्यक्षा, a dh y - a k sh aa
अध्ययन, a dh y - a y a n
अध्ययनीय, a dh y - a y a n ii y @
अध्यवसाय, a dh y - a v @ - s aa y
अध्यवसायी, a dh y - a v @ - s aa y ii
अध्यात्म, a dh y - aa t m
अध्यात्मिक, a dh y - aa t m i k
अध्यादेश, a dh y - aa - d e sh
अध्यापक, a dh y - aa p a k
अध्यापकी, a dh y - aa p @ k ii
अध्यापन, a dh y - aa p a n
अध्यापिका, a dh y - aa p i k aa
अध्याय, a dh y - aa y
अध्यारोप, a dh y - aa - r o p
अध्यारोपण, a dh y - aa - r o p a n
अध्यारोपित, a dh y - aa - r o p i t
अध्यास, a dh y - aa s
अध्यासीन, a dh y - aa s ii n
अध्याहार, a dh y - aa - h aa r
अध्याहुत, a dh y - aa - h r i t
अध्येता, a dh y - e t aa
अध्येय, a dh y - e y
अध्रुव, a - dh r u v
अन-, a n -
अनंग, a n - a ng g
अनंगी, a n - a ng g ii
अनंगीकरण, a n - a ng g ii k a r a n
अनंगीकार, a n - a ng g ii k aa r
अनंत, a n - a n t
अनंतता, a n - a n t @ t aa
अनंतिम, a n - a n t i m
अनंतर, a n - a n t a r
अनंतरित, a n - a n t a r i t
अनंतरीय, a n - a n t a r ii y @
अनंतर्हित, a n - a n t a r - h i t
अनंत्य, a n - a n t y @
अनंद, a n a n d
अनंश, a n - a n sh
-अन, - a n
-अन, - a n
-अन, - a n
अनकना, a n k a n aa
अनक्षर, a n - a k sh a r
अनख, a n a kh
अनखा-, a n kh aa -
अनखाहट, a n kh aa h a tt
अनखी, a n kh ii
अनगढ़, a n - g a rrh
अनगढ़त, a n - g a rrh a t
अनगढ़पन, a n - g a rrh p a n
अनगढ़पना, a n - g a rrh p a n aa
अनगणित, a n - g a n i t
अनगिनत, a n - g i n a t
अनगिना, a n - g i n aa
अनगी, a n g ii
अनघ, a n - a gh
अनघड़, a n - gh a rr
अनघड़त, a n - gh a rr a t
अनघड़पन, a n - gh a rr p a n
अनघड़पना, a n - gh a rr p a n aa
अनचाहत, a n - c aa h a t
अनचाहा, a n - c aa h aa
अनचित, a n - c i t
अनचित्ता, a n - c i t t aa
अनचीत, a n - c ii t
अनचीता, a n - c ii t aa
अनचेना, a n c e n aa
अनछीला, a n - ch ii l aa
अनछेड़, a n - ch e rr
अनजना, a n - j a n aa
अनजाई, a n - j aa ii
अनजान, a n - j aa n
अनजानत, a n - j aa n a t
अनजाना, a n - j aa n aa
अनजानी, a n - j aa n ii
अनजामा, a n - j aa m aa
अनझिप, a n - jh i p
अनट, a n a tt
अनत, a n a t
अनदेखा, a n - d e kh aa
अनदेखी, a n - d e kh ii
अनधिकार, a n - a dh i - k aa r
अनन्नास, a n a n n aa s
अनन्नासी, a n a n n aa s ii
अनन्य, a n - a n y @
अनन्यता, a n - a n y @ t aa
अनपच, a n - p a c
अनपढ़, a n - p a rrh
अनपढ़ता, a n - p a rrh t aa
अनपढ़ा, a n - p a rrh aa
अनपराध, a n - a p @ - r aa dh
अनपराधी, a n - a p @ - r aa dh ii
अनपरिचय, a n - p a r i - c a y
अनपाय, a n - a p aa y
अनपायी, a n - a p aa y ii
अनपेक्ष, a n - a p e k sh
अनपेक्षा, a n - a p e k sh aa
अनपेक्षित, a n - a p e k sh i t
अनपेक्ष्य, a n - a p e k sh y @
अनप्रतीती, a n - p r a t ii t ii
अनबन, a n b a n
अनबन, a n b a n
अनबिंधा, a n - b i n dh aa
अनबूझ, a n - b uu jh
अनबेधा, a n - b e dh aa
अनबोल, a n - b o l
अनबोला, a n - b o l aa
अनबोया, a n - b o y aa
अनब्याहा, a n - b y aa h aa
अनभल, a n - bh a l
अनभला, a n - bh a l aa
अनभाया, a n - bh aa y aa
अनभिज्ञ, a n - a bh i - g y @
अनभिज्ञता, a n - a bh i - g y @ t aa
अनभिलाष, a n - a bh i - l aa sh
अनभिलाषी, a n - a bh i - l aa sh ii
अनमन, a n - m a n
अनमना, a n - m a n aa
अनमनाना, a n m a n aa n aa
अनमनापन, a n - m a n aa p a n
अनमनाहट, a n - m a n aa h a tt
अनमिल, a n - m i l
अनमेल, a n - m e l
अनमोल, a n - m o l
अनरखा, a n - r a kh aa
अनरस, a n - r a s
अंनरीति, a n - r ii t i
अनर्गल, a n - a r g a l
अनर्थ, a n - a r th
अनर्थक, a n - a r th a k
अनर्थकारी, a n - a r th k aa r ii
अनर्थी, a n - a r th ii
अनर्हता, a n - a r h @ t aa
अनल, a n a l
अनलसित, a n - a l @ s i t
अनवकाश, a n - a v @ - k aa sh
अनवट, a n v a tt
अनवट, a n v a tt
अनवद्य, a n - a - v a d y @
अनवधान, a n - a v @ - dh aa n
अनवधानता, a n - a v @ - dh aa n @ t aa
अनवधि, a n - a v @ - dh i
अनवरत, a n - a v @ - r a t
अनवरोध, a n - a v @ - r o dh
अनवसर, a n - a v @ - s a r
अनवस्थ, a n - a v a - s th
अनवस्था, a n - a v @ - s th aa
अनवस्थित, a n - a v @ - s th i t
अनवाँसा, a n v aa n s aa
अनवाँसी, a n v aa n s ii
अनशन, a n - @ sh a n
अनश्वर, a - n a sh v a r
अनसमझ, a n - s a m a jh
अनसिखा, a n - s i kh aa
अनसुन, a n - s u n
अनसुना, a n - s u n aa
अनसुनी, a n - s u n ii
अनसूय, a n - a s uu y a
अनसोच, a n - s o c
अनसोचा, a n - s o c aa
अनहंकार, a n - a h a ~ k aa r
अनहित, a n - h i t
अनहितू, a n h i t uu
अनहोता, a n - h o t aa
अनहोना, a n - h o n aa
अनहोनी, a n - h o n ii
अनाकानी, a n aa k aa n ii
अनाकार, a n - aa - k aa r
अनाक्रमण, a n - aa - k r a m a n
अनाक्रांत, a n - aa - k r aa n t
अनाक्रांता, a n - aa - k r aa n t aa
अनागत, a n - aa - g a t
अनागति, a n - aa - g a t i
अनागम, a n - aa - g a m
अनागम्य, a n - aa - g a m y @
अनाचरण, a n - aa - c a r a n
अनाचार, a n - aa - c aa r
अनाचारिता, a n - aa - c aa r i t aa
अनाचारी, a n - aa - c aa r ii
अनाचित, a n aa c i t
अनाचिती, a n aa c i t ii
अनाज, a n aa j
अनाजी, a n aa j ii
अनाड़ी, a n aa rr ii
अनाड़ीपन, a n aa rr ii p a n
अनाड़ीपना, a n aa rr ii p a n aa
अनातुर, a n - aa t u r
अनात्म, a n - aa t m @
अनात्मक, a n - aa t m a k
अनाथ, a - n aa th
अनाद, a n aa d
अनादर, a n - aa - d a r
अनादरण, a n - aa - d a r a n
अनादरणीय, a n - aa - d a r @ n ii y @
अनादरित, a n - aa - d @ r i t
अनादि, a n - aa d i
अनादिता, a n - aa d i t aa
अनादित्व, a n - aa d i t v @
अनादृत, a n - aa - d r i t
अनानास, a n aa n aa s
अनाप-शनाप, a n aa p - sh a n aa p
अनाम, a - n aa m
अनामक, a - n aa m a k
अनामय, a n - aa m a y
अनामिका, a - n aa m i k aa
अनायक, a - n aa y a k
अनायास, a n - aa - y aa s
अनायासिक, a n - aa - y aa s i k
अनार, a n aa r
अनारपन, a n aa r p a n
अनारी, a n aa r ii
अनावरण, a n - aa - v a r a n
अनावर्ती, a n - aa - v a r t ii
अनावृ+ष्टि, a n - aa - v r i - sh tt i
अनावृत, a n - aa - v r i t
अनावृत्त, a n - aa - v r i t t
अनावृत्ति, a n - aa - v r i t t i
अनाश्य, a - n aa sh y @
अनाहत, a n - aa - h a t
अनाहार, a n - aa - h aa r
अनाहारी, a n - aa - h aa r ii
अनिंदनीय, a - n i n d @ n ii y @
अनिंदित, a - n i n d i t
आनिच्छा, a n - i c ch aa
अनिच्छित, a n - i c ch i t
अनिच्छु, a n - i c ch u
अनिच्छुक, a n - i c ch u k
अनित्य, a - n i t y @
अनित्यता, a - n i t y @ t aa
अनिद्र, a - n i d r @
अनिद्रा, a - n i d r aa
अनिद्रित, a - n i d r i t
अनिपुण, a - n i p u n
अनियमित, a - n i - y a m i t
अनियार-, a n i y aa r -
अनिरुद्ध, a - n i - r u d dh
अनिर्णय, a - n i r - n a y
अनिर्णीत, a - n i r - n ii t
अनिर्मल, a - n i r - m a l
अनिर्वचनीय, a - n i r - v a c @ n ii y @
अनिर्वाच्य, a - n i r - v aa c y @
अनिल, a n i l
अनिवारित, a - n i - v aa r i t
अनिवार्य, a - n i - v aa r y @
अनिवार्यता, a - n i - v aa r y @ t aa
अनिश, a - n i sh
अनिश्चय, a - n i sh - c a y
अनिश्चित, a - n i sh - c i t
अनिषिद्ध, a - n i - sh i d dh
अनिष्ट, a n - i sh tt
अनिष्ठा, a - n i - sh tth aa
अनी, a n ii
अनीक, a n ii k
अनीति, a - n ii t i
अनीह, a n - ii h
अनु-, a n u -
अनुकंपा, a n u - k a m p aa
अनुकंपित, a n u - k a m p i t
अनुकथन, a n u - k a th a n
अनुकरण, a n u - k a r a n
अनुकरणीय, a n u - k a r @ n ii y @
अनुकर्ष, a n u - k a r sh
अनुकर्षण, a n u - k a r sh a n
अनुकारक, a n u - k aa r a k
अनुकारी, a n u - k aa r ii
अनुकाल, a n u - k aa l
अनुकूल, a n u - k uu l
अनुकूल-, a n u k uu l -
अनुकूलता, a n u - k uu l @ t aa
अनुकूलन, a n u - k uu l a n
अनुकूलन, a n u - k uu l i t
अनुकूलित, a n u - k r i t i
अनुकृति, a n - u k t
अनुक्ति, a n - u k t i
अनुक्रम, a n u - k r a m
अनुक्रमण, a n u - k r a m a n
अनुक्रमणिका, a n u - k r a m @ n i k aa
अनुक्षण, a n u - k sh a n
अनुगत, a n u - g a t
अनुगति, a n u - g a t i
अनुगम, a n u - g a m
अनुगमन, a n u - g a m a n
अनुगामी, a n u - g aa m ii
अनुगूँज, a n u - g uu n j
अनुगृहीत, a n u - g r i h ii t
अनुग्रह, a n u - g r a h
अनुग्रही, a n u - g r a h ii
अनुग्राहक, a n u - g r aa h a k
अनुग्राही, a n u - g r aa h ii
अनुग्राह्य, a n u - g r aa h y @
अनुचर, a n u - c a r
अनुचरित, a n u - c a r i t
अनुचार, a n u - c aa r
अनुचारी, a n u - c aa r ii
अनुचित, a n - u c i t
अनुचित्रक, a n u - c i t r a k
अनुच्छेद, a n u - c ch e d
अनुज, a n u - j
अनुजन्मा, a n u - j a n m aa
अनुजा, a n u - j aa
अनुजीवी, a n u - j ii v ii
अनुज्ञप्त, a n u - g y a p t
अनुज्ञप्ति, a n u - g y a p t i
अनुज्ञा, a n u - g y aa
अनुज्ञात, a n u - g y aa t
अनुज्ञापक, a n u - g y aa p a k
अनुज्ञापन, a n u - g y aa p a n
अनुज्ञेय, a n u - g y e y
अनुताप, a n u - t aa p
अनुतापित, a n u - t aa p i t
अनुतापी, a n u - t aa p ii
अनुत्तर, a n - u t t a r
अनुदान, a n u - d aa n
अनुदिन, a n u - d i n
अनुदेश, a n u - d e sh
अनुद्योग, a n - u d - y o g
अनुद्योगी, a n - u d - y o g ii
अनुद्वाह, a n - u d - v aa h
अनुनय, a n u - n a y
अनुनयी, a n u - n a y ii
अनुनाद, a n u - n aa d
अनुनासिक, a n u - n aa s i k
अनुनासिकता, a n u - n aa s i k @ t aa
अनुनीत, a n u - n ii t
अनुंन्नत, a n - u n n a t
अनुन्नति, a n - u n n a t i
अनुपकार, a n - u p @ - k aa r
अनुपकारी, a n - u p @ - k aa r ii
अनुपम, a n - u p a - m
अनुपमित, a n - u p a - m i t
अनुपमेय, a n - u p a - m e y
अनुपलक्षित, a n - u p @ - l a k sh i t
अनुपलब्ध, a n - u p @ - l a b dh
अनुपलब्धि, a n - u p @ - l a b dh i
अनुपस्थित, a n - u p @ - s th i t
अनुपस्थिति, a n - u p @ - s th i t i
अनुपात, a n u - p aa t
अनुपातक, a n u - p aa t a k
अनुपातन, a n u - p aa t a n
अनुपाती, a n u - p aa t ii
अनुपान, a n u - p aa n
अनुपूरक, a n u - p uu r a k
अनुप्राणित, a n u - p r aa n i t
अनुप्रास, a n u - p r aa s
अनुबंध, a n u - b a n dh
अनुबंधक, a n u - b a n dh a k
अनुबंधन, a n u - b a n dh a n
अनुबंधी, a n u - b a n dh ii
अनुबद्ध, a n u - b a d dh
अनुबल, a n u - b a l
अनुभव, a n u - bh a v
अनुभवी, a n u - bh a v ii
अनुभाजन, a n u - bh aa j a n
अनुभाव, a n u - bh aa v
अनुभावक, a n u - bh aa v a k
अनुभावन, a n u - bh aa v a n
अनुभावी, a n u - bh aa v ii
अनुभाव्य, a n u - bh aa v y @
अनुभूत, a n u - bh uu t
अनुभूति, a n u - bh uu t i
अनुमत, a n u - m a t
अनुमति, a n u - m a t i
अनुमरण, a n u - m a r a n
अनुमान, a n u - m aa n
अनुमान-, a n u m aa n -
अनुमानिक, a n u - m aa n i k
अनुमानित, a n u - m aa n i t
अनुमानी, a n u - m aa n ii
अनुमापक, a n u - m aa p a k
अनुमापन, a n u - m aa p a n
अनुमित, a n u - m i t
अनुमोद, a n u - m o d
अनुमोदक, a n u - m o d a k
अनुमोदन, a n u - m o d a n
अनुमोदित, a n u - m o d i t
अनुयाचन, a n u - y aa c a n
अनुयायी, a n u - y aa y ii
अनुयोक्ता, a n u - y o k t aa
अनुयोग, a n u - y o g
अनुयोगी, a n u - y o g ii
अनुयोजन, a n u - y o j a n
अनुयोजित, a n u - y o j i t
अनुरंजक, a n u - r a n a k
अनुरंजन, a n u - r a n a n
अनुरंजित, a n u - r a n i t
अनुरक्त, a n u - r a k t
अनुरक्ति, a n u - r a k t i
