punjabi,phon
ਅਨ੍ਥਣ,a n a r th a nn
ਅਨ੍ਥੀ,a n a r th ii
ਅਨਾਥ,a n aa th
ਅਨਾਉਣਾ,a n aa u nn aa
ਅੰਬ,a ng b
ਅੰਬਾਹ,a ng b aa h
ਅਣਥਣ,a nn b a nn
ਅਣਥਣਤ,a nn b a nn t
ਅਣਭੈ,a nn bh E
ਅਣਭੌ,a nn bh O
ਅਣਭੋਲ,a nn bh o l
ਅਣਬਿਆਹਾ,a nn b i aa h aa
ਅਣਬਿਆਹਿਆ,a nn b i aa h i aa
ਅਣਬਿੱਧ,a nn b i d dh
ਅੰਬੋਹ,a ng b o h
ਅਣਬੋਲ,a nn b o l
ਆਂਚ,aa ng c
ਅੰਚਲਾ,a ng c a l aa
ਅਣਛੁਹ,a nn ch u h
ਅਣਚਿੰਤ,a nn c i ng t
ਅਣਚਿੰਤਾ,a nn c i ng t aa
ਅਣਚੋਦਯਾ,a nn c o d y aa
ਆਂਡ,aa ng dd
ਆਂਦ,aa ng d
ਅੰਦਾਜਾ,a ng d aa j aa
ਅਣਡਾਰ,a nn dd aa r
ਆਂਦਰ,aa ng d a r
ਆਂਡਰ,aa ng dd a r
ਅੰਦਰ,a ng d a r
ਅੰਦਰਦਿਓਂ,a ng d a r d i o ng
ਅੰਦਰਦੋ,a ng d a r d o ng
ਅੰਦਰੋ,a ng d a r o ng
ਆਂਦਰਵਧਾਈ,aa ng d a r v a dh aa ii
ਆਂਡਾੱ,aa ng dd dd aa
ਅਣਦੇਖਿਯਾ,a nn d e kh y aa
ਅੰਦੇਸਾ,a ng d e s aa
ਅੰਧ,a ng dh
ਅੰਧਾ,a ng dh aa
ਆਂਢਾ,aa ng ddh aa
ਅੰਧਾਰ,a ng ddh aa r
ਅੰਧਾਰਾ,a ng dh aa r aa
ਅੰਧਾਰੀ,a ng dh aa r ii
ਅੰਧਲਾ,a ng dh l aa
ਅਣਧੋਤਾੱ,a nn dh o t t aa
ਅਣਧੋਯਾ,a nn dh o y aa
ਅਣਡਿਠੱ,a nn dd i tt tth
ਅੰਦਰਸ,a ng d r a s
ਆਂਦਡ਼ੀ,a ng d rr ii
ਆਂਡੂ,aa ng dd uu
ਅਨੇਕ,a n e k
ਅੰਗ,a ng g
ਅੰਗਣੀ,a ng g a nn ii
ਅੰਗਰ,a ng g a r
ਅੰਗਾਰ,a ng g aa r
ਅੰਗਾਸੀ,a ng g aa s ii
ਅਣਗਤ,a nn g a t
ਅੰਗਾ,a ng g g aa
ਅੰਗਕ,a ng g g a k
ਅੰਗਸ,a ng g g a s
અગ્ગી,a ng g g ii
અગ્ગીઠા,a ng g g ii tth aa
અગ્ગીઠી,a ng g g ii tth ii
અગ્ગોછા,a ng g g o ch aa
અગ્ગુલી,a ng g g u l ii
અગ્ગૂર,a ng g g uu r
અગ્ગૂરી,a ng g g uu r ii
અગ્ગુસ,a ng g g u s
અગ્ગૂઠ,a ng g g uu tth
અગ્ગૂઠા,a ng g g uu tth aa
અગ્ગૂઠી,a ng g g uu tth ii
અગ્ગૂઠઆ,a ng g g uu tth rr aa
અગ્ગ્યાર,a ng g g y aa r
અગ્ગ્યારા,a ng g g y aa r aa
અગ્ગ્યારી,a ng g g y aa r ii
અણઘ,a nn gh a rr
અણઘઅત,a nn gh a rr t
અણઘઅયા,a nn gh a rr y aa
અણગીણત,a nn g i nn t
અણગીણતી,a nn g i nn t ii
અગ્ગણા,a ng g nn aa
ਅੰਗਰੱਖਾ,a ng g r a k kh aa
ਅੰਗਯਾਰੀ,a ng g y aa r ii
ਆਂਹਰ,aa ng h a r
ਅਨੇਰ,a n h e r
ਅਨੇਰਾ,a n h e r aa
ਅਨੇਰੀ,a n h e r i
ਅਣਹੋਂਦ,a nn h o ng d
ਅਣਹੋਣੀ,a nn h o nn i
ਅਨੀਲ,a n i l
ਅਨਿਤੱ,a n i t t
ਅੰਜ,a ng j
ਅੰਜਣ,a ng j a nn
ਅਣਜਾਨ,a nn j aa n
ਅੰਝ,a ng jh
ਆਂਝਲ,aa ng jh a l
ਆਂਝੂ,aa ng jh uu
ਅੰਝੂ,a ng jh uu
ਅੰਜੀਲ,a ng j ii l
ਅੰਜੀਰ,a ng j ii r
ਅੰਜਲੀ,a ng j l ii
ਅਣਜੋਡ਼,a nn j o rr
ਅਣਕ,a nn k
ਅੰਕਸ,a ng k a s
ਅਣਕਟਿੱਯਾ,a nn k a tt tt i y aa
ਅਣਖ,a nn kh
ਅਣਖੀ,a nn kh ii
ਅਣਮਾਣ,a nn m aa nn
ਅਣਮਣਾ,a nn m a nn aa
ਅਣਮਨਾਣਾ,a nn m a n aa nn aa
ਅਣਮਨਾਉਣਾ,a nn m a n aa u nn aa
ਅਣਮੁਲੱ,a nn m u l l
ਅਨੱ,a n n
ਆਨਾੱ,aa n n aa
ਅਨਾੱ,a n n h aa
ਅੱਨੀ,a n n h ii
ਅੱਨਿਆ,a n n i aa
ਅਨਿੱਆਉ,a n n i aa u
ਅਨਿੱਆਈ,a n n ii aa ii
ਅਨਿੱਆਇਣ,a n n i aa i nn
ਅਣੋਖ,a nn o kh
ਅਣੋਖਾੱ,a nn o k kh aa
ਅਣਪਡ਼੍ਹ,a nn p a rrh
ਅਣਪਣਡ਼੍ਹਿਆ,a nn p a rrh y aa
ਅਣਰੱਖ,a nn r a k kh
ਅਣਰੱਖਾ,a nn r a k kh aa
ਅਣਰਸ,a nn r a s
ਅਣਰੀਤ,a nn r ii t
ਅਣਰੁਚ,a nn r u c
ਅਣਰੁਚਦਾ,a nn r u c d aa
ਅਣਸ,a nn s
ਅੰਸ,a ng s
ਅ਼ਨਸਾਰ,a n s aa r
ਅਨਸੀ,a n s ii
ਅਣਸਿੱਖ,a nn s i k kh
ਅਣਸਿੱਖਆ,a nn s i k kh i aa
ਅਣਸੁਨੀ,a nn s u n ii
ਅਣਸੁਨਯਾਂ,a nn s u n y aa ng
ਅੰਤ,a ng t
ਅਨਤ,a n t
ਆਂਟ,aa ng tt
ਆਂਟਸਾਂਟ,s aa ng tt
ਆਂਤ,aa ng t
ਅਨਤਹਕਰਨ,k a r a n
ਅਨਤਸ਼ਕਰਨ,k a r a n
ਅੰਤ੍,a ng t a r
ਅੰਤਾ੍,a ng t a r aa
ਆਂਠ,aa ng tth
ਆਂਠਣੀ,aa ng tth n ii
ਅਣਥਕੱ,a nn th a k k
ਆਂਤਡ਼ੀ,aa ng t rr ii
ਅਣੂ,a nn uu
ਅਨੁਗਰ੍ਹ,a n u g r a h
ਆਂਉਲ,aa ng u l
ਆਂਉਲਾ,aa ng u l aa
ਆਂਓਂ,aa ng u ng
ਅਨੂਪ,a n uu p
ਅਣਉਤਪਤੱ,a nn u t p a t t
ਅਣਵਹਿਂਦਾ,a nn v a h ng d aa
ਅਣਵਟ,a nn v a tt
ਅਣਵਟੀ,a nn v a tt i
ਅਣਵਟੱ,a nn v a tt tt
ਆਂਵਲਾ,aa ng v a l aa
ਆਪ,aa p
ਅਪੱਛਰਾ,a p a c ch a r aa
ਅਪਦੱਰ,a p a d d a r
ਅਪਦੱਰਨ,a p a d d r a n
ਅਪਦੱਰੀ,a p a d d a r ii
ਅਪਾਧ,a p aa dh
ਅਪਾਧੀ,a p aa dh ii
ਆਪਾਂ,aa p aa ng
ਅਪਾਉ,a p aa o
ਅਪਗਰ,a p aa r
ਅਪਰਾਧ,a p a r aa dh
ਅਪਰਾਧਣ,a p a r aa dh a nn
ਅਪਰਾਧੀ,a p a r aa dh ii
ਅਪਰਮਪਾਰ,a p a r a m p aa r
ਅਪਰਾਪਾਰ,a p a r aa p aa r
ਅਪਡ਼ਣ,a p a rr a nn
ਆਪਸ,aa p a s
ਅਪੱਥ,a p a t th
ਅਪਵਿਤ੍ੱ,a p a v i t t a r
ਅਪਵਿਤ੍ੱਤਾਈ,a p a v i t t a r t aa ii
ਆਪਧਰਾਧ,aa p dh a r aa p
ਆਪੇ,aa p e
ਅਫਾਰਾ,a ph aa r aa
ਅਫ਼ਾਰਨਾ,a ph aa r n aa
ਆਫਰਨਾ,aa ph a r n aa
ਅਫਰਾਈ,a ph r aa ii
ਅਫਰਾਉਣਾ,a ph r aa u nn aa
ਅਫਰੋਈ,a ph r o ii
ਅਫੁਰ,a ph u r
ਅਫੁਰਣ,a ph u r a nn
ਅਫੁਰਣਾ,a ph u r nn aa
ਅਪਜਸ,a p j a s
ਅਪਕਰਮ,a p k a r m
ਅਪਕਰਮਣ,a p k a r m a nn
ਅਪਕਰਮੀ,a p k a r m ii
ਅਪਮਾਣ,a p m aa nn
ਆਪਣਾ,aa p nn aa
ਅਪਣਾਇਤ,a p nn aa i t
ਆਪੋਧਾਈ,aa p o dh aa ii
ਆਪੋਧਾਪ,aa p o dh aa p
ਆਪੋਧਾਪੀ,aa p o dh aa p ii
ਆਪੋਂ,aa p o ng
ਅਪੋਤਰਾਨਾ,a p o t a r aa n aa
ਅਪੱਡ਼,a p p a rr
ਅਪੱਡ਼ਨਾ,a p p a rr n aa
ਅਫੱਲ,a p ph a l
ਅਫੱਰਨਾ,a p ph a r n aa
ਅਪਰਾਧ,a p r aa dh
ਅਪਰਮਪਾਰ,a p r a m p aa r
ਅਪਰਾਪਾਰ,a p r aa p aa r
ਅਪਸਗਣ,a p s a g a nn
ਅਪਤਾ,a p t aa
ਅਪੂਤ,a p uu t
ਅਪੁਤੱ,a p u t t
ਅਪੁਠਾੱ,a p u tt tth aa
ਅਰ,a r
ਅਡ਼,a rr
ਆਰ,aa r
ਆਰਾ,aa r aa
ਆਡ਼ਾ,aa rr aa
ਅਰਾਧਣਾ,a r aa dh nn aa
ਆਰਫ,aa r a ph
ਅਡ਼ਾਹਾ,a rr aa h aa
ਅਰਾਈਂ,a r aa ii ng
ਅਡ਼ੈਲ,a rr E l
ਅਰਕ,a r a k
ਅਰਾਮ,a r aa m
ਅਡ਼ੰਬ,a rr a ng b
ਅਰੰਭ,a r a ng bh
ਆਰੰਭ,aa r a ng bh
ਆਰੰਭਣਾ,aa r a ng bh nn aa
ਅਰੰਭਣਾ,a r a ng bh nn aa
ਅਡ਼ਨ,a rr a n
ਅਰਡ਼ਾਟ,a r a rr aa tt
ਅਰਡ਼ਾਉਣਾ,a r a rr aa u nn aa
ਅਰਡ਼ਪੋਪੋ,a r a rr p o p o
ਅਡ਼ਾਉ,a rr aa u
ਅਡ਼ਾਉਣਾ,a rr aa u nn aa
ਅਡ਼ਾਵਣ,a rr aa v a nn
ਅਰਬ,a r b
ਅਡ਼ਬ,a rr b
ਆਡ਼ਬੰਦ,aa rr b a ng d
ਅਡ਼ਬੰਗਾ,a rr b a ng g aa
ਅਡ਼ਬਿੰਗਾ,a rr b i ng g aa
ਅਰਬੇਲੀ,a r b e l ii
ਅਰਬੇਲਡ਼ੀ,a r b e l a rr ii
ਅਡ਼ਭ,a rr bh
ਅਰਬੀ,a r b ii
ਅਰਚਾ,a r c aa
ਅਡ਼ਦਲ,a rr d a l
ਅਡ਼ਦਲੀ,a rr d a l ii
ਅਰਦਾਸ,aa r d aa s
ਅਰਦਾਸੀਯਾ,a r d aa s ii y aa
ਅਰਧਾਵਾ,a r dh aa v aa
ਅਡ਼ੇਲ,a rr e l
ਅਡ਼ੇਂਗਡ਼ੀ,a rr e ng g a rr ii
ਅਰੇਰੇ,a r e r e
ਅਡ਼ੇਸ,a rr e s
ਅਰੇਡ਼ੀ,a r e rr ii
ਅਰਗਜਾ,a r g a j aa
ਅਰਗਲ,a r g a l
ਅਰਗਡ਼ਾ,a r g a rr aa
ਅਰਘਾ,a r gh aa
ਆਡ੍ਹਤ,aa rrh a t
ਆਰਹੀ,aa r h ii
ਅਰਹਿਓਂ,a r h i u ng
ਆਡ੍ਹਤੀਆ,aa rrh t ii aa
ਅਡ਼ੀ,a rr ii
ਆਰੀ,aa r ii
ਆਡ਼ੀ,aa rr ii
ਆਰੀਆ,aa r ii aa
ਅਡ਼ਿਆ,a rr i aa
ਅਡ਼ੀਏ,a rr ii e
ਅਡ਼ਿਕਾੱ,a rr i k k aa
ਅਰਿੰਡ,a r i ng dd
ਆਡ਼ੀਓ,aa rr i o
ਅਡ਼ੀਂਗਡ਼ੀ,a rr ii ng g a rr ii
ਅਡ਼ਿੰਗਾ,a rr i ng g g aa
ਅਰਜ,a r j
ਆਰਜਾ,aa r j aa
ਅਰਜਨ,a r j a n
ਅਰਜੀ,a r j ii
ਅਰਜੋ,a r j o
ਆਰਜੂ,aa r j uu
ਅਡ਼ਕਣਾ,a rr k nn aa
ਅਰਲ,a r l
ਅਰਲੀ,a r l ii
ਅਰਮਾਣ,a r m aa nn
ਅਡ਼ਣਾ,a rr nn aa
ਅਰਨਾ,a r n aa
ਅਰਨੀ,a r n ii
ਅਰੋਗ,a r o g
ਅਰੋਗਣ,a r o g a nn
ਅਰੋਗੀ,a r o g ii
ਅਰੋਕ,a r o k
ਅਰਪਣ,a r p a nn
ਆਰਪਰਵਾਰ,aa r p a r v aa r
ਅਰਪਣਾ,a r p nn aa
ਅਰਸ,a r s
ਅਰਸ਼,a r sh
ਆਰਤਾ,aa r t aa
ਅਡ਼ਤਲਾ,a rr t a l aa
ਅਰਥ,a r th
ਅਰਥਾਤ,a r th aa t
ਅਰਥੀ,a r th ii
ਅਰਥੀਆ,a r th ii aa
ਆਰਤੀ,aa r t ii
ਆਡ਼ੂ,aa rr uu
ਅਰੁਚ,a r u c
ਅਰੁਚਣਾ,a r u c nn aa
ਅਰੂਜ,a r uu j
ਅਡ਼ੁੰਗਾੱ,a rr u ng g g aa
ਅਡ਼ੁੰਗਨਾ,a rr u ng g n aa
ਅਰੂਪ,a r uu p
ਅਰੂਡ਼ੀ,a r uu rr ii
ਅਡ਼ਯਲ,a rr y a l
ਆਸ,aa s
ਆਸਾ,aa s aa
ਆਸ਼ਾ,aa sh aa
ਅਸਾਡਾ,a s aa dd aa
ਅਸਾਡਡ਼ਾ,a s aa dd a rr aa
ਅਸਾਧ,a s aa dh
ਅਸਗਣ,a s a g a nn
ਅਸਾਹਾਂ,a s aa h aa ng
ਆਸਕ,aa s a k
ਅਸਾਕ,a s aa k
ਅਸਕਤ,a s a k a t
ਅਸਾਖ,a s aa kh
ਆਸਕੀ,aa s a k ii
ਅਸਕਤਣ,a s a k t a nn
ਅਸਕਤੀ,a s a k t ii
ਅਸਮਝ,a s a m a jh
ਅਸਰਮਰਥ,a s a m a r th
ਅਸਰਮਰਥੀ,a s a m a r th aa
ਅਸਮਰਥਣ,a s a m a r th a nn
ਅਸਮਰਥੀ,a s a m a r th ii
ਅਸਮਭਵ,a s a m bh a v
ਅਸਾਮੀ,a s aa m ii
ਅਸਾਨ,a s aa n
ਅਸਾਣ,a s aa nn
ਅਸਾਂ,a s aa ng
ਆਸਣ,aa s a nn
ਅਸਾਂਡਾ,a s aa ng dd aa
ਅਸੰਗ,a s a ng g
ਅਸੰਗਤ,a s a ng g a t
ਅਸਾਨੀ,a s aa n ii
ਅਸੰਖ,a s a ng kh
ਅਸੰਸਾ,a s a ng s aa
ਅਸਾਂਸਾ,a s aa ng s aa
ਅਸੰਤੋਖ,a s a n t o kh
ਅਸੰਤੋਖਣ,a s a ng t o kh a nn
ਅਸੰਤੋਖੀ,a s a ng t o kh ii
ਅਸਾਨੂਂ,a s aa n uu ng
ਅਸਰ,a s a r
ਅਸਾਰ,a s aa r
ਅਸਰਣ,a s a r nn
ਅਸਤੱ,a s a t t
ਅਸਾਉਰੀ,a s aa u r i
ਆਸਾਉਰੀ,aa s aa u r ii
ਆਸਾਵਰੀ,aa s aa v a r ii
ਅਸਬਾਬ,a s b aa b
ਆਸੇਲਗੱਣਾ,aa s e - l a g g nn aa
ਅਸਗਾਹ,a s g aa h
ਅਸਗੰਧ,a s g a ng dh
ਆਸਗੰਧ,aa s g a ng dh
ਆਸ਼ਕ,aa sh a k
ਆਸ਼ਕੀ,aa sh a k ii
ਅਸ਼ਾਰਹ,a sh aa r a h
ਅਸ਼ਕ,a sh k
ਅਸ਼ਕੇ,a sh k e
ਅਸ਼ਕੇਲ,a sh k e l
ਅਸ਼ਰਾਫ,a sh r aa ph
ਅਸ਼ਰਾਫਤ,a sh r aa ph a t
ਅਸ਼ਟ,a sh tt
ਅਸ਼ਟਮੀ,a sh tt m ii
ਅਸਿੱਧ,a s i d dh
ਅਸੀਲ,a s ii l
ਅਸੀਂ,a s ii ng
ਅਸੀਰਬਾਦ,a s ii r b aa d
ਅਸੀਰਵਾਦ,a s ii r v aa d
ਆਸੀਰਬਾਦ,aa s ii r b aa d
ਆਸੀਰਵਾਦ,aa s ii r v aa d
ਅਸੀਸ,a s ii s
ਅਸੀਸਡ਼ੀ,a s ii s rr ii
ਅਸਕ,a s k
ਅਸਕਰ,a s k a r
ਅਸਕਤ,a s k a t
ਅਸਕਤਣ,a s k a t a nn
ਅਸਕਤੀ,a s k t ii
ਅਸਲ,a s l
ਅਸਲੀ,a s l ii
ਅਸਮਾਣ,a s m aa nn
ਅਸਮਾਣੀ,a s m aa nn ii
ਅਸਮੇਧ,a s m e dh
ਅਸਨਾ,a s n aa
ਅਸਨਾਈ,a s n aa ii
ਅਸਨਾਣ,a s n aa nn
ਅਸਨਾਨਣ,a s n aa n a nn
ਅਸਨਾਨੀ,a s n aa n ii
ਅਸੋਭਾ,a s o bh aa
ਅਸੋਚ,a s o c
ਅਸੋਚੀ,a s o c ii
ਅਸੋਗ,a s o g
ਅਸੋਗੀ,a s o g ii
ਆਸਪਾਸਲਾ,aa s p aa s l aa
ਅਸਪਾਤ,a s p aa t
ਆਸਰਾ,aa s r aa
ਅਸਰਾਲ,a s r aa l
ਆਸਰਮ,aa s r a m
ਅਸਰਾਮ,a s r aa m
ਆਸਰਿਤ,aa s r i t
ਆਸਾੱ,aa s s aa
ਅਸੱਰ,a s s a r
ਅੱਸੀ,a s s ii
ਅੱਸੀਆ,a s s ii aa
ਅੱਸੀਹਾ,a s s ii h aa
ਅੱਸੂ,a s s uu
ਅਸਤ,a s t
ਅਸਟਾ,a s tt aa
ਅਸਤਕ,a s t a k
ਅਸਤ੍ਰ,a s t a r
ਅਸਤ੍ਰ,a s t a r
ਅਸਤਾਉਣ,a s t aa u n aa
ਅਸਤਾਵਾ,a s t aa v aa
ਅਸਤਾਵਡ਼ਾ,a s t aa v a rr aa
ਆਸਤੇ,aa s t e
ਅਸਥਾਣ,a s th aa nn
ਅਸਥਾਪਣ,a s th aa p a nn
ਅਸਥਰ,a s th a r
ਅਸਥਾਵਰ,a s th aa v a r
ਅਸਥੂਲ,a s th uu l
ਅਸਤੀ,a s t ii
ਅਸਤੀਣ,a s t ii nn
ਅਸਟੀਸਣ,a s tt ii s a nn
ਅਸਟਮੀ,a s tt m ii
ਅਸਤਣਾ,a s t nn aa
ਆਸੂ,aa s u
ਅਸੁਆਰ,a s u aa r
ਅਸੁਆਰੀ,a s u aa r ii
ਅਸੁਭ,a s u bh
ਅਸੁਧੱ,a s u d dh
ਅਸੂਝ,a s u jh
ਅਸਵਾਰ,a s v aa r
ਅਸਵਾਰੀ,a s v aa r ii
ਅਟ,a tt
ਅਤਾਈ,a t aa ii
ਅਤਾਇਣ,a t aa i nn
ਅਟੈਂਕ,a tt E ng k
ਅਟਕ,a tt a k
ਅਟਕਣਾ,a tt a k nn aa
ਅਤਾਲਾ,aa t aa l aa
ਅਟਲੱ,a tt a l l
ਆਤਨ,aa t a n
ਅਟੰਕ,a tt a ng k
ਅਤ੍ਰ,a t a r
ਆਤ੍ਰ,aa t a r
ਅਤਾਰ,a t aa r
ਅਤਾਰੀ,a t aa r ii
ਅਟਾਰੀ,a tt aa r ii
ਅਤ੍ਰਰਾਉਣਾ,a t a r aa u nn aa
ਅਟਾਸਟਾ,a tt aa s a tt aa
ਅਟਾਸਠਾ,a tt aa s a tth aa
ਅਟਾਉ,a tt aa u
ਅਤਬਾਰ,a t b aa r
ਅਤੇ,a t e
ਅਟੇਕ,a tt e k
ਅਟੇਰਣ,a tt e r a nn
ਅਟੇਰਣਾ,a tt e r nn aa
ਆਠਾ,aa th aa
ਅਥਾਹ,a th aa h
ਅਠਾਹਟ,a tth aa h a tt
ਅਠਾਹਰਾ,a tth aa h r aa
ਅਠਾਹਰਵਾਂ,a tth aa h r v aa ng
ਅਠਾਈ,aa tth aa ii
ਅਥਕੱ,a th a k k
ਆਥਮਣਾ,aa th a m nn aa
ਆਥਣ,aa th a nn
ਅਠਾਂਗਾ,a tth aa ng g aa
ਆਥਨਣਾ,aa th a n nn aa
ਅਠਾਂਹ,a tth aa ng h
ਆਠਾੱਨੀ,aa tth aa n n ii
ਅਠੱਨੀ,a tth a n n ii
ਅਠਾਨਵੇਂ,a tth aa n v e ng
ਆਥਰ,aa th a r
ਅਠਾਰਾਂ,a tth aa r aa ng
ਆਬਡ਼ੀ,aa th a rr ii
ਆਠਰਣਾ,aa tth a r nn aa
ਅਥਰਨਣ,a th a r v a nn
ਅਠਾਸੀ,a tth aa s ii
ਅਠਤ੍ਰੱ,a tth a t t a r
ਅਠੱਤੀ,a tth a t t ii
ਅਠੱਤ੍ਰੀ,a tth a t t a r ii
ਅਠਾਉਣਾ,a tth aa u nn aa
ਆਠੀਆ,aa tth ii aa
ਅਠਿਆਨੀ,a tth i aa n ii
ਆਥਣਾ,aa th nn a
ਅਠੋਗ,a tth o g
ਆਥੋਕ,aa th o k
ਆਥੋਂ,aa th o ng
ਆਥਰੀ,aa th r ii
ਅਠਤਾਲੀ,a tth t aa l ii
ਅਠੂਆਂ,a tth uu aa n
ਅਠੂਹਾਂ,a tth uu h aa ng
ਅਠੁਆਰਾ,a tth u aa r aa
ਆਥੁਣ,aa th u nn
ਆਥੁਣਾੱ,aa th u nn nn aa
ਅਥਵਾ,a th v aa
ਅਠਵੰਜਾੱ,a tth v a ng j j aa
ਅਠਵਾਡ਼ਾ,a tth v aa rr aa
ਅਤਿਆਲਾ,a t i aa l aa
ਅਤੀਸਾਰ,a t ii s aa r
ਅਤੀਤ,a t ii t
ਅਤੀਤਣੀ,a t ii t nn ii
ਅਤਿਥ,a t i th
ਅਤਿਥੀ,a t i th ii
ਅਟਕਾ,a tt k aa
ਅਟਕਾਉ,a tt k aa u
ਅਟਕਲ,a tt k a l
ਅਟਕਾਊ,a tt k aa uu
ਅਟਕਾਉਣਾ,a tt k aa u nn aa
ਆਤਮਾ,aa t m aa
ਅਤੋਲ,a t o l
ਅਤਰੇਓਂ,a t r e u ng
ਅਟਸਟਾ,a tt s a tt aa
ਅਟਸਠਾ,a tt s a tth aa
ਅਤੱ,a t t
ਅਟਾੱ,a tt tt aa
ਆਟਾੱ,aa tt tt aa
ਅੱਠ,a tt tth
ਅਠੱਮੀ,a tt tth m ii
ਅੱਠੇਂ,a tt tth e ng
ਅੱਠੋਂ,a tt tth o ng
ਅੱਟੀ,a tt tt ii
ਅਟੱਣਾ,a tt tt nn aa
ਅਟੁੱਟ,a tt u tt tt
ਆਉ,aa u
ਆਉਭਗਤ,aa u bh a g a t
ਆਉਭਾਗਤ,aa u bh aa g a t
ਔਚਟਜਾਣਾ,O c a tt - j aa nn aa
ਔਚਟਣਾ,O c a tt nn aa
ਔਡਾੱ,O dd aa
ਔਧ,O dh
ਔਢਾ,O ddh aa
ਔਗਣ,O g a nn
ਔਗਾਣ,O g aa nn
ਔਗਾਣੀ,O g aa nn ii
ਔਗਾਨਣ,O g aa n a nn
ਔਗਤ,O g a t
ਔਘਡ਼,O gh a rr
ਔਘੀ,O gh ii
ਔਗੁਣ,O g u nn
ਔਜਾਰ,O j aa r
ਔਜਡ਼,O jh a rr
ਔਕਡ਼,O k a rr
ਔਕਤ,O k a t
ਔਕਾਤ,O k aa t
ਔਖ,O kh
ਔਖਾ,O kh aa
ਔਖਦ,O kh a d
ਔਖਦੀ,O kh a d ii
ਔਖਤ,O kh a t
ਔਖੀ,O kh ii
ਔਲ,O l
ਆਉਲਾ,aa u l aa
ਔਲਾਂਘ,O l aa ng gh
ਔਲੀ,O l ii
ਔਲੀਯਾ,O l ii y aa
ਔਲੋਂ,O l o n
ਆਉਣ,aa u nn
ਔਂ,O ng
ਆਉਣਾ,aa u nn aa
ਔਂਸਰ,O ng s a r
ਔਂਸੀ,O ng s ii
ਔਂਤ,O ng t
ਔਂਤ੍ਰਾ,O ng t a r aa
ਔਤ੍ਰੀ,O ng t a r ii
ਔਡ਼,O rr
ਔਡ਼ਣਾ,O rr nn aa
ਔਸ,O s
ਔਸਾਣ,O s aa nn
ਔਸਰ,O s a r
ਔਸਟਣਾ,O s t aa nn aa
ਔਸਟਾਉਣਾ,O s tt aa u nn aa
ਔਤ,O t
ਔਤਾ੍,O t a r aa
ਔਤੀ੍,O t r ii
ਔਟਲਜਾਣਾ,O tt a l j aa nn aa
ਔਟਲਣਾ,O tt a l nn aa
ਔਤਾਰ,O t aa r
ਔਤਰਕ,O t a r a k
ਔਤਾਰੀ,O t aa r ii
ਔਤਰੀ,O t aa r ii
ਔਤਾਰੀਜੀ,O t aa r ii j ii
ਔਟਾਉਣਾ,O tt aa u nn aa
ਔਟਣਾ,O tt nn aa
ਆਵਾ,aa v aa
ਅਵਗਤ,a v a g a t
ਅਵੈਡ਼ਾ,a v E rr aa
ਅਵਸੱ,a v a s s
ਅਵੇਰ,a v e r
ਅਵੇਰਾ,a v e r aa
ਅਵੇਰੇ,a v e r e
ਅਵਿਚਾਰ,a v i c aa r
ਅਵਿਚਾਰਣ,a v i c aa r a nn
ਅਵਿਚਾਰੀ,a v i c aa r ii
ਅਵਿਦਿੱਯਾ,a v i d d i y aa
ਅਵਿਨਾਸ,a v i n aa s
ਅਵਿਨਾਸੀ,a v i n aa s ii
ਅਵਿਰਥਾ,a v i r th aa
ਅਵਿਰੋਧ,a v i r o dh
ਅਵਿਰੋਧਣ,a v i r o dh a nn
ਅਵਿਰੋਧੀ,a v i r o dh ii
ਅਵਤਾਰ,a v t aa r
ਆਵਾ,aa v aa
ਅਵਧ,a v a dh
ਅਵਧੀ,a v a dh ii
ਅਵਧੂਤ,a v a dh uu t
ਆਵਾਗਮਣ,aa v aa g a m a nn
ਆਵਾਗੌਣ,aa v aa g O nn
ਆਵਾਗਵਣ,aa v aa g a v a nn
ਅਵਗਿੱਯਾ,a v a g g i y aa
ਅਵਾਈ,a v aa ii
ਅਵਾਜ,a v aa j
ਅਵਲਾੱ,a v a l l aa
ਅਵਲਡ਼ਾ,a v a l rr aa
ਅਵਾਨ,a v aa n
ਆਵਨ,aa v a n
ਅਵਾਂਧਾ,a v aa ng dh aa
ਅਵਾਰਾ,a v aa r aa
ਅਵਾਡ਼ੀ,a v aa rr ii
ਅਵਸਥਾ,a v a s th aa
ਅਵਤਾਰ,a v a t aa r
ਅਵਤਾੱ,a v a t t aa
ਅਵੱਤੀ,a v a t t ii
ਅਵੇਸਲਾ,a v e s l aa
ਅਵਗਾਹਣਾ,a v g aa h nn aa
ਆਵੀ,aa v ii
ਅਵਿਗੁਣ,a v i g u nn
ਅਯਾਲ,a y aa l
ਅਯਾਲੀ,a y aa l ii
ਅਯਾਣਾ,a y aa nn aa
ਆਯਡ਼ਾ,aa y a rr aa
ਆਯਤਵਾਰ,aa y a t v aa r
ਅਯੋਗ,a y o j
ਅਯੱਡ਼,a y y a rr
ਬਾਬ,b aa b
ਬਾਬਲ,b aa b a l
ਬਬਾਣ,b a b aa nn
ਬਾਬਡ਼ਿੰਗ,b aa b a rr i ng g
ਬਾਬਤ,b aa b a t
ਬਬੱ,b a b b
ਬਬਾੱ,b a b b aa
ਬਾਬਾੱ,b aa b b aa
ਬਬੱਰ,b a b b a r
ਬੱਬੀ,b a b b ii
ਬਬੱਰੂ,b a b b r u
ਬਬੀਆ,b a b ii aa
ਬਬੋਹਾ,b a b o h aa
