ਆ,Á
ਅਨਾਦਰ,ĀNĀDAR
ਅਨਾਈ,ANĀĪ
ਅਨਾਜ,ANĀJ
ਆਨਾਂ,ĀNĀṆ
ਆਨੰਦ,ĀNAṆD
ਅਨੰਦ,ANAṆD
ਅਨੰਦੀ,ANAṆDĪ
ਆਨੰਦੀ,ĀNAṆDĪ
ਅਨੰਦਤਾਈ,ANAṆDTĀĪ
ਅਨਾਨੀਤ,ANĀNĪT
ਅਨੰਤ,ANAṆT
ਅਨੰਤਰ,ANAṈATR
ਅਨਾਰ,ANĀR
ਅਨਾਡ਼ਣ,ANĀṚAṈ
ਅਨਾਡ਼ਬਿੱਦਯਾ,ANĀṚBIDDYĀ
ਅਨਾਡ਼ਵਿੱਦਯਾ,ANĀṚVIDDYĀ
ਅਨਾਡ਼ੀ,ANĀṚĪ
ਅਨਾਡ਼ਪੁਣਾ,ANĀṚPUṈĀ
ਅਨ੍ਥ,ANARTH
ਅਨ੍ਥਣ,ANARTHAṈ
ਅਨ੍ਥੀ,ANARTHĪ
ਅਨਾਥ,ANĀTH
ਅਨਾਉਣਾ,ANĀUṈĀ
ਅੰਬ,AṆB
ਅੰਬਾਹ,AṆBĀH
ਅਣਥਣ,AṈBAṈ
ਅਣਥਣਤ,AṈBAṈT
ਅਣਭੈ,AṈBHAI
ਅਣਭੌ,AṈBHAU
ਅਣਭੋਲ,AṈBHOL
ਅਣਬਿਆਹਾ,AṈBIĀHĀ
ਅਣਬਿਆਹਿਆ,AṈBIĀHIĀ
ਅਣਬਿੱਧ,AṈBIDDH
ਅੰਬੋਹ,AṆBOH
ਅਣਬੋਲ,AṈBOL
ਆਂਚ,ĀṆCH
ਅੰਚਲਾ,AṆCHALĀ
ਅਣਛੁਹ,AṈCHHUH
ਅਣਚਿੰਤ,AṈCHIṆT
ਅਣਚਿੰਤਾ,AṈCHIṆTÁ
ਅਣਚੋਦਯਾ,AṈCHODYÁ
ਆਂਡ,ÁṆḌ
ਆਂਦ,ÁṆD
ਅੰਦਾਜਾ,AṆDÁJÁ
ਅਣਡਾਰ,AṈḌÁR
ਆਂਦਰ,ÁṆDAR
ਆਂਡਰ,ÁṆḌAR
ਅੰਦਰ,AṆDAR
ਅੰਦਰਦਿਓਂ,AṆDARDIOṆ
ਅੰਦਰਦੋ,AṆDARDOṆ
ਅੰਦਰੋ,AṆDAROṆ
ਆਂਦਰਵਧਾਈ,ÁṆDARWADHÁÍ
ਆਂਡਾੱ,ÁṆḌḌÁ
ਅਣਦੇਖਿਯਾ,AṈDEKHYÁ
ਅੰਦੇਸਾ,AṆDESÁ
ਅੰਧ,AṆDH
ਅੰਧਾ,AṆDHÁ
ਆਂਢਾ,ÁṆḌHÁ
ਅੰਧਾਰ,AṆḌHÁR
ਅੰਧਾਰਾ,AṆDHÁRÁ
ਅੰਧਾਰੀ,AṆDHÁRÍ
ਅੰਧਲਾ,AṆDHLÁ
ਅਣਧੋਤਾੱ,AṈDHOTTÁ
ਅਣਧੋਯਾ,AṈDHOYÁ
ਅਣਡਿਠੱ,AṈḌIṬṬH
ਅੰਦਰਸ,AṆDRAS
ਆਂਦਡ਼ੀ,AṆDṚÍ
ਆਂਡੂ,ÁṆḌÚ
ਅਨੇਕ,ANEK
ਅੰਗ,AṆG
ਅੰਗਣੀ,AṆGAṈÍ
ਅੰਗਰ,AṆGAR
ਅੰਗਾਰ,AṆGÁR
ਅੰਗਾਸੀ,AṆGÁSÍ
ਅਣਗਤ,AṈGAT
ਅੰਗਾ,AṆGGÁ
ਅੰਗਕ,AṆGGAK
ਅੰਗਸ,AṆGGAS
અગ્ગી,AṆGGÍ
અગ્ગીઠા,AṆGGÍṬHÁ
અગ્ગીઠી,AṆGGÍṬHÍ
અગ્ગોછા,AṆGGOCHHÁ
અગ્ગુલી,AṆGGULÍ
અગ્ગૂર,AṆGGÚR
અગ્ગૂરી,AṆGGÚRÍ
અગ્ગુસ,AṆGGUS
અગ્ગૂઠ,AṆGGÚṬH
અગ્ગૂઠા,AṆGGÚṬHÁ
અગ્ગૂઠી,AṆGGÚṬHÍ
અગ્ગૂઠઆ,AṆGGÚṬHṚÁ
અગ્ગ્યાર,AṆGGYÁR
અગ્ગ્યારા,AṆGGYÁRÁ
અગ્ગ્યારી,AṆGGYÁRÍ
અણઘ,AṈGHAṚ
અણઘઅત,AṈGHAṚT
અણઘઅયા,AṈGHAṚYÁ
અણગીણત,AṈGIṈT
અણગીણતી,AṈGIṈTÍ
અગ્ગણા,AṆGṈÁ
ਅੰਗਰੱਖਾ,AṆGRAKKHÁ
ਅੰਗਯਾਰੀ,AṆGYÁRÍ
ਆਂਹਰ,ÁṆHAR
ਅਨੇਰ,ANHER
ਅਨੇਰਾ,ANHERÁ
ਅਨੇਰੀ,ANHERI
ਅਣਹੋਂਦ,AṈHOṆD
ਅਣਹੋਣੀ,AṈHOṈI
ਅਨੀਲ,ANIL
ਅਨਿਤੱ,ANITT
ਅੰਜ,AṆJ
ਅੰਜਣ,AṆJAṈ
ਅਣਜਾਨ,AṈJÁN
ਅੰਝ,AṆJH
ਆਂਝਲ,ÁṆJHAL
ਆਂਝੂ,ÁṆJHÚ
ਅੰਝੂ,AṆJHÚ
ਅੰਜੀਲ,AṆJÍL
ਅੰਜੀਰ,AṆJÍR
ਅੰਜਲੀ,AṆJLÍ
ਅਣਜੋਡ਼,AṈJÓṚ
ਅਣਕ,AṈK
ਅੰਕਸ,AṆKAS
ਅਣਕਟਿੱਯਾ,AṈKAṬṬIYÁ
ਅਣਖ,AṈKH
ਅਣਖੀ,AṈKHÍ
ਅਣਮਾਣ,AṈMÁṈ
ਅਣਮਣਾ,AṈMAṈÁ
ਅਣਮਨਾਣਾ,AṈMANÁṈÁ
ਅਣਮਨਾਉਣਾ,AṈMANÁUṈÁ
ਅਣਮੁਲੱ,AṈMULL
ਅਨੱ,ANN
ਆਨਾੱ,ÁNNÁ
ਅਨਾੱ,ANNHÁ
ਅੱਨੀ,ANNHÍ
ਅੱਨਿਆ,ANNIÁ
ਅਨਿੱਆਉ,ANNIÁU
ਅਨਿੱਆਈ,ANNÍÁÍ
ਅਨਿੱਆਇਣ,ANNIÁIṈ
ਅਣੋਖ,AṈOKH
ਅਣੋਖਾੱ,AṈOKKHÁ
ਅਣਪਡ਼੍ਹ,AṈPAṚH
ਅਣਪਣਡ਼੍ਹਿਆ,AṈPAṚHYÁ
ਅਣਰੱਖ,AṈRAKKH
ਅਣਰੱਖਾ,AṈRAKKHÁ
ਅਣਰਸ,AṈRAS
ਅਣਰੀਤ,AṈRÍT
ਅਣਰੁਚ,AṈRUCH
ਅਣਰੁਚਦਾ,AṈRUCHDÁ
ਅਣਸ,AṈS
ਅੰਸ,AṆS
ਅ਼ਨਸਾਰ,ANSÁR
ਅਨਸੀ,ANSÍ
ਅਣਸਿੱਖ,AṈSIKKH
ਅਣਸਿੱਖਆ,AṈSIKKHIÁ
ਅਣਸੁਨੀ,AṈSUNÍ
ਅਣਸੁਨਯਾਂ,AṈSUNYÁṆ
ਅੰਤ,AṆT
ਅਨਤ,ANT
ਆਂਟ,ÁṆṬ
ਆਂਟਸਾਂਟ,SÁṆṬ
ਆਂਤ,ÁṆT
ਅਨਤਹਕਰਨ,KARAN
ਅਨਤਸ਼ਕਰਨ,KARAN
ਅੰਤ੍,AṆTAR
ਅੰਤਾ੍,AṆTARÁ
ਆਂਠ,ÁṆṬH
ਆਂਠਣੀ,ÁṆṬHNÍ
ਅਣਥਕੱ,AṈTHAKK
ਆਂਤਡ਼ੀ,ÁṆTṚÍ
ਅਣੂ,AṈÚ
ਅਨੁਗਰ੍ਹ,ANUGRAH
ਆਂਉਲ,ÁṆUL
ਆਂਉਲਾ,ÁṆULÁ
ਆਂਓਂ,ÁṆUṆ
ਅਨੂਪ,ANÚP
ਅਣਉਤਪਤੱ,AṈUTPATT
ਅਣਵਹਿਂਦਾ,AṈWAHṆDÁ
ਅਣਵਟ,AṈWAṬ
ਅਣਵਟੀ,AṈWAṬI
ਅਣਵਟੱ,AṈWAṬṬ
ਆਂਵਲਾ,ÁṆWALÁ
ਆਪ,ÁP
ਅਪੱਛਰਾ,APACHCHHARÁ
ਅਪਦੱਰ,APADDAR
ਅਪਦੱਰਨ,APADDRAN
ਅਪਦੱਰੀ,APADDARÍ
ਅਪਾਧ,APÁDH
ਅਪਾਧੀ,APÁDHÍ
ਆਪਾਂ,ÁPÁṆ
ਅਪਾਉ,APÁO
ਅਪਗਰ,APÁR
ਅਪਰਾਧ,APARÁDH
ਅਪਰਾਧਣ,APARÁDHAṈ
ਅਪਰਾਧੀ,APARÁDHÍ
ਅਪਰਮਪਾਰ,APARAMPÁR
ਅਪਰਾਪਾਰ,APARÁPÁR
ਅਪਡ਼ਣ,APAṚAṈ
ਆਪਸ,ÁPAS
ਅਪੱਥ,APATTH
ਅਪਵਿਤ੍ੱ,APAVITTAR
ਅਪਵਿਤ੍ੱਤਾਈ,APAVITTARTÁÍ
ਆਪਧਰਾਧ,ÁPDHARÁP
ਆਪੇ,ÁPE
ਅਫਾਰਾ,APHÁRÁ
ਅਫ਼ਾਰਨਾ,APHÁRNÁ
ਆਫਰਨਾ,ÁPHARNÁ
ਅਫਰਾਈ,APHRÁÍ
ਅਫਰਾਉਣਾ,APHRÁUṈÁ
ਅਫਰੋਈ,APHROÍ
ਅਫੁਰ,APHUR
ਅਫੁਰਣ,APHURAṈ
ਅਫੁਰਣਾ,APHURṈÁ
ਅਪਜਸ,APJAS
ਅਪਕਰਮ,APKARM
ਅਪਕਰਮਣ,APKARMAṈ
ਅਪਕਰਮੀ,APKARMÍ
ਅਪਮਾਣ,APMÁṈ
ਆਪਣਾ,ÁPṈÁ
ਅਪਣਾਇਤ,APṈÁIT
ਆਪੋਧਾਈ,ÁPODHÁÍ
ਆਪੋਧਾਪ,ÁPODHÁP
ਆਪੋਧਾਪੀ,ÁPODHÁPÍ
ਆਪੋਂ,ÁPOṆ
ਅਪੋਤਰਾਨਾ,APOTARÁNÁ
ਅਪੱਡ਼,APPAṚ
ਅਪੱਡ਼ਨਾ,APPAṚNÁ
ਅਫੱਲ,APPHAL
ਅਫੱਰਨਾ,APPHARNÁ
ਅਪਰਾਧ,APRÁDH
ਅਪਰਮਪਾਰ,APRAMPÁR
ਅਪਰਾਪਾਰ,APRÁPÁR
ਅਪਸਗਣ,APSAGAṈ
ਅਪਤਾ,APTÁ
ਅਪੂਤ,APÚT
ਅਪੁਤੱ,APUTT
ਅਪੁਠਾੱ,APUṬṬHÁ
ਅਰ,AR
ਅਡ਼,AṚ
ਆਰ,ÁR
ਆਰਾ,ÁRÁ
ਆਡ਼ਾ,ÁṚÁ
ਅਰਾਧਣਾ,ARÁDHṈÁ
ਆਰਫ,ÁRAF
ਅਡ਼ਾਹਾ,AṚÁHÁ
ਅਰਾਈਂ,ARÁÍṆ
ਅਡ਼ੈਲ,AṚAIL
ਅਰਕ,ARAK
ਅਰਾਮ,ARÁM
ਅਡ਼ੰਬ,AṚAṆB
ਅਰੰਭ,ARAṆBH
ਆਰੰਭ,ÁRAṆBH
ਆਰੰਭਣਾ,ÁRAṆBHṈÁ
ਅਰੰਭਣਾ,ARAṆBHṈÁ
ਅਡ਼ਨ,AṚAN
ਅਰਡ਼ਾਟ,ARAṚÁṬ
ਅਰਡ਼ਾਉਣਾ,ARAṚÁUṈÁ
ਅਰਡ਼ਪੋਪੋ,ARAṚPOPO
ਅਡ਼ਾਉ,AṚÁU
ਅਡ਼ਾਉਣਾ,AṚÁUṈÁ
ਅਡ਼ਾਵਣ,AṚÁWAṈ
ਅਰਬ,ARB
ਅਡ਼ਬ,AṚB
ਆਡ਼ਬੰਦ,ÁṚBAṆD
ਅਡ਼ਬੰਗਾ,AṚBAṆGÁ
ਅਡ਼ਬਿੰਗਾ,AṚBIṆGÁ
ਅਰਬੇਲੀ,ARBELÍ
ਅਰਬੇਲਡ਼ੀ,ARBELAṚÍ
ਅਡ਼ਭ,AṚBH
ਅਰਬੀ,ARBÍ
ਅਰਚਾ,ARCHÁ
ਅਡ਼ਦਲ,AṚDAL
ਅਡ਼ਦਲੀ,AṚDALÍ
ਅਰਦਾਸ,ÁRDÁS
ਅਰਦਾਸੀਯਾ,ARDÁSÍYÁ
ਅਰਧਾਵਾ,ARDHÁWÁ
ਅਡ਼ੇਲ,AṚEL
ਅਡ਼ੇਂਗਡ਼ੀ,AṚEṆGAṚÍ
ਅਰੇਰੇ,ARERE
ਅਡ਼ੇਸ,AṚES
ਅਰੇਡ਼ੀ,AREṚÍ
ਅਰੇਡ਼ੀਪਲੀਆਂ,(PLÍÁṆ)
ਅਰਗਜਾ,ARGAJÁ
ਅਰਗਲ,ARGAL
ਅਰਗਡ਼ਾ,ARGAṚÁ
ਅਰਘਾ,ARGHÁ
ਆਡ੍ਹਤ,ÁṚHAT
ਆਰਹੀ,ÁRHÍ
ਅਰਹਿਓਂ,ARHIUṆ
ਆਡ੍ਹਤੀਆ,ÁṚHTÍÁ
ਅਡ਼ੀ,AṚÍ
ਆਰੀ,ÁRÍ
ਆਡ਼ੀ,ÁṚÍ
ਆਰੀਆ,ÁRÍÁ
ਅਡ਼ਿਆ,AṚIÁ
ਅਡ਼ੀਏ,AṚÍE
ਅਡ਼ਿਕਾੱ,AṚIKKÁ
ਅਰਿੰਡ,ARIṆḌ
ਆਡ਼ੀਓ,ÁṚIO
ਅਡ਼ੀਂਗਡ਼ੀ,AṚÍṆGAṚÍ
ਅਡ਼ਿੰਗਾ,AṚIṆGGÁ
ਅਰਜ,ARJ
ਆਰਜਾ,ÁRJÁ
ਅਰਜਨ,ARJAN
ਅਰਜੀ,ARJÍ
ਅਰਜੋ,ARJO
ਆਰਜੂ,ÁRJÚ
ਅਡ਼ਕਣਾ,AṚKṈÁ
ਅਰਲ,ARL
ਅਰਲੀ,ARLÍ
ਅਰਮਾਣ,ARMÁṈ
ਅਡ਼ਣਾ,AṚṈÁ
ਅਰਨਾ,ARNÁ
ਅਰਨੀ,ARNÍ
ਅਰੋਗ,AROG
ਅਰੋਗਣ,AROGAṈ
ਅਰੋਗੀ,AROGÍ
ਅਰੋਕ,AROK
ਅਰਪਣ,ARPAṈ
ਆਰਪਰਵਾਰ,ÁRPARWÁR
ਅਰਪਣਾ,ARPṈÁ
ਅਰਸ,ARS
ਅਰਸ਼,ARSH
ਆਰਤਾ,ÁRTÁ
ਅਡ਼ਤਲਾ,AṚTALÁ
ਅਰਥ,ARTH
ਅਰਥਾਤ,ARTHÁT
ਅਰਥੀ,ARTHÍ
ਅਰਥੀਆ,ARTHÍÁ
ਆਰਤੀ,ÁRTÍ
ਆਡ਼ੂ,ÁṚÚ
ਅਰੁਚ,ARUCH
ਅਰੁਚਣਾ,ARUCHṈÁ
ਅਰੂਜ,ARÚJ
ਅਡ਼ੁੰਗਾੱ,AṚUṆGGÁ
ਅਡ਼ੁੰਗਨਾ,AṚUṆGNÁ
ਅਰੂਪ,ARÚP
ਅਰੂਡ਼ੀ,ARÚṚÍ
ਅਡ਼ਯਲ,AṚYAL
ਆਸ,ÁS
ਆਸਾ,ÁSÁ
ਆਸ਼ਾ,ÁSHÁ
ਅਸਾਡਾ,ASÁḌÁ
ਅਸਾਡਡ਼ਾ,ASÁḌAṚÁ
ਅਸਾਧ,ASÁDH
ਅਸਗਣ,ASAGAṈ
ਅਸਾਹਾਂ,ASÁHÁṆ
ਆਸਕ,ÁSAK
ਅਸਾਕ,ASÁK
ਅਸਕਤ,ASAKAT
ਅਸਾਖ,ASÁKH
ਆਸਕੀ,ÁSAKÍ
ਅਸਕਤਣ,ASAKTAṈ
ਅਸਕਤੀ,ASAKTÍ
ਅਸਮਝ,ASAMAJH
ਅਸਰਮਰਥ,ASAMARTH
ਅਸਰਮਰਥੀ,ASAMARTHÁ
ਅਸਮਰਥਣ,ASAMARTHAṈ
ਅਸਮਰਥੀ,ASAMARTHÍ
ਅਸਮਭਵ,ASAMBHAV
ਅਸਾਮੀ,ASÁMÍ
ਅਸਾਨ,ASÁN
ਅਸਾਣ,ASÁṈ
ਅਸਾਂ,ASÁṆ
ਆਸਣ,ÁSAṈ
ਅਸਾਂਡਾ,ASÁṆḌÁ
ਅਸੰਗ,ASAṆG
ਅਸੰਗਤ,ASAṆGAT
ਅਸਾਨੀ,ASÁNÍ
ਅਸੰਖ,ASAṆKH
ਅਸੰਸਾ,ASAṆSÁ
ਅਸਾਂਸਾ,ASÁṆSÁ
ਅਸੰਤੋਖ,ASANTOKH
ਅਸੰਤੋਖਣ,ASAṆTOKHAṈ
ਅਸੰਤੋਖੀ,ASAṆTOKHÍ
ਅਸਾਨੂਂ,ASÁNÚṆ
ਅਸਰ,ASAR
ਅਸਾਰ,ASÁR
ਅਸਰਣ,ASARṈ
ਅਸਤੱ,ASATT
ਅਸਾਉਰੀ,ASÁURI
ਆਸਾਉਰੀ,ÁSÁURÍ
ਆਸਾਵਰੀ,ÁSÁWARÍ
ਅਸਬਾਬ,ASBÁB
ਆਸੇਲਗੱਣਾ,ÁSE-LAGGṈÁ
ਅਸਗਾਹ,ASGÁH
ਅਸਗੰਧ,ASGAṆDH
ਆਸਗੰਧ,ÁSGAṆDH
ਆਸ਼ਕ,ÁSHAK
ਆਸ਼ਕੀ,ÁSHAKÍ
ਅਸ਼ਾਰਹ,AṢHÁRAH
ਅਸ਼ਕ,ASHK
ਅਸ਼ਕੇ,ASHKE
ਅਸ਼ਕੇਲ,ASHKEL
ਅਸ਼ਰਾਫ,ASHRÁF
ਅਸ਼ਰਾਫਤ,ASHRÁFAT
ਅਸ਼ਟ,ASHṬ
ਅਸ਼ਟਮੀ,ASHṬMÍ
ਅਸਿੱਧ,ASIDDH
ਅਸੀਲ,ASÍL
ਅਸੀਂ,ASÍṆ
ਅਸੀਰਬਾਦ,ASÍRBÁD
ਅਸੀਰਵਾਦ,ASÍRWÁD
ਆਸੀਰਬਾਦ,ÁSÍRBÁD
ਆਸੀਰਵਾਦ,ÁSÍRWÁD
ਅਸੀਸ,ASÍS
ਅਸੀਸਡ਼ੀ,ASÍSṚÍ
ਅਸਕ,ASK
ਅਸਕਰ,ASKAR
ਅਸਕਤ,ASKAT
ਅਸਕਤਣ,ASKATAṈ
ਅਸਕਤੀ,ASKTÍ
ਅਸਲ,ASL
ਅਸਲੀ,ASLÍ
ਅਸਮਾਣ,ASMÁṈ
ਅਸਮਾਣੀ,ASMÁṈÍ
ਅਸਮੇਧ,ASMEDH
ਅਸਨਾ,ASNÁ
ਅਸਨਾਈ,ASNÁÍ
ਅਸਨਾਣ,ASNÁṈ
ਅਸਨਾਨਣ,ASNÁNAṈ
ਅਸਨਾਨੀ,ASNÁNÍ
ਅਸੋਭਾ,ASOBHÁ
ਅਸੋਚ,ASOCH
ਅਸੋਚੀ,ASOCHÍ
ਅਸੋਗ,ASOG
ਅਸੋਗੀ,ASOGÍ
ਆਸਪਾਸਲਾ,ÁSPÁSLÁ
ਅਸਪਾਤ,ASPÁT
ਆਸਰਾ,ÁSRÁ
ਅਸਰਾਲ,ASRÁL
ਆਸਰਮ,ÁSRAM
ਅਸਰਾਮ,ASRÁM
ਆਸਰਿਤ,ÁSRIT
ਆਸਾੱ,ÁSSÁ
ਅਸੱਰ,ASSAR
ਅੱਸੀ,ASSÍ
ਅੱਸੀਆ,ASSÍÁ
ਅੱਸੀਹਾ,ASSÍHÁ
ਅੱਸੂ,ASSÚ
ਅਸਤ,AST
ਅਸਟਾ,ASṬÁ
ਅਸਤਕ,ASTAK
ਅਸਤ੍ਰ,ASTAR
ਅਸਤ੍ਰ,ASTAR
ਅਸਤਾਉਣ,ASTÁUNÁ
ਅਸਤਾਵਾ,ASTÁWÁ
ਅਸਤਾਵਡ਼ਾ,ASTÁWAṚÁ
ਆਸਤੇ,ÁSTE
ਅਸਥਾਣ,ASTHÁṈ
ਅਸਥਾਪਣ,ASTHÁPAṈ
ਅਸਥਰ,ASTHAR
ਅਸਥਾਵਰ,ASTHÁWAR
ਅਸਥੂਲ,ASTHÚL
ਅਸਤੀ,ASTÍ
ਅਸਤੀਣ,ASTÍṈ
ਅਸਟੀਸਣ,ASṬÍSAṈ
ਅਸਟਮੀ,ASṬMÍ
ਅਸਤਣਾ,ASTṈÁ
ਆਸੂ,ÁSU
ਅਸੁਆਰ,ASUÁR
ਅਸੁਆਰੀ,ASUÁRÍ
ਅਸੁਭ,ASUBH
ਅਸੁਧੱ,ASUDDH
ਅਸੂਝ,ASUJH
ਅਸਵਾਰ,ASWÁR
ਅਸਵਾਰੀ,ASWÁRÍ
ਅਟ,AṬ
ਅਤਾਈ,ATÁÍ
ਅਤਾਇਣ,ATÁIṈ
ਅਟੈਂਕ,AṬAIṆK
ਅਟਕ,AṬAK
ਅਟਕਣਾ,AṬAKṈÁ
ਅਤਾਲਾ,ÁTÁLÁ
ਅਟਲੱ,AṬALL
ਆਤਨ,ÁTAN
ਅਟੰਕ,AṬAṆK
ਅਤ੍ਰ,ATAR
ਆਤ੍ਰ,ÁTAR
ਅਤਾਰ,ATÁR
ਅਤਾਰੀ,ATÁRÍ
ਅਟਾਰੀ,AṬÁRÍ
ਅਤ੍ਰਰਾਉਣਾ,ATARÁUṈÁ
ਅਟਾਸਟਾ,AṬÁSAṬÁ
ਅਟਾਸਠਾ,AṬÁSAṬHÁ
ਅਟਾਉ,AṬÁU
ਅਤਬਾਰ,ATBÁR
ਅਤੇ,ATE
ਅਟੇਕ,AṬEK
ਅਟੇਰਣ,AṬERAṈ
ਅਟੇਰਣਾ,AṬERṈÁ
ਆਠਾ,ÁTHÁ
ਅਥਾਹ,ATHÁH
ਅਠਾਹਟ,AṬHÁHAṬ
ਅਠਾਹਰਾ,AṬHÁHRÁ
ਅਠਾਹਰਵਾਂ,AṬHÁHRVÁṆ
ਅਠਾਈ,ÁṬHÁÍ
ਅਥਕੱ,ATHAKK
ਆਥਮਣਾ,ÁTHAMṈÁ
ਆਥਣ,ÁTHAṈ
ਅਠਾਂਗਾ,AṬHÁṆGÁ
ਆਥਨਣਾ,ÁTHANṈÁ
ਅਠਾਂਹ,AṬHÁṆH
ਆਠਾੱਨੀ,ÁṬHÁNNÍ
ਅਠੱਨੀ,AṬHANNÍ
ਅਠਾਨਵੇਂ,AṬHÁNWEṆ
ਆਥਰ,ÁTHAR
ਅਠਾਰਾਂ,AṬHÁRÁṆ
ਆਬਡ਼ੀ,ÁTHAṚÍ
ਆਠਰਣਾ,ÁṬHARṈÁ
ਅਥਰਨਣ,ATHARWAṈ
ਅਠਾਸੀ,AṬHÁSÍ
ਅਠਤ੍ਰੱ,AṬHATTAR
ਅਠੱਤੀ,AṬHATTÍ
ਅਠੱਤ੍ਰੀ,AṬHATTARÍ
ਅਠਾਉਣਾ,AṬHÁUṈÁ
ਆਠੀਆ,ÁṬHÍÁ
ਅਠਿਆਨੀ,AṬHİÁNÍ
ਆਥਣਾ,ÁTHṈA
ਅਠੋਗ,AṬHOG
ਆਥੋਕ,ÁTHOK
ਆਥੋਂ,ÁTHOṆ
ਆਥਰੀ,ÁTHRÍ
ਅਠਤਾਲੀ,AṬHTÁLÍ
ਅਠੂਆਂ,AṬHÚÁN
ਅਠੂਹਾਂ,AṬHÚHÁṆ
ਅਠੁਆਰਾ,AṬHUÁRÁ
ਆਥੁਣ,ÁTHUṈ
ਆਥੁਣਾੱ,ÁTHUṈṈÁ
ਅਥਵਾ,ATHWÁ
ਅਠਵੰਜਾੱ,AṬHWAṆJJÁ
ਅਠਵਾਡ਼ਾ,AṬHWÁṚÁ
ਅਤਿਆਲਾ,ATIÁLÁ
ਅਤੀਸਾਰ,ATÍSÁR
ਅਤੀਤ,ATÍT
ਅਤੀਤਣੀ,ATÍTṈÍ
ਅਤਿਥ,ATITH
ਅਤਿਥੀ,ATITHÍ
ਅਟਕਾ,AṬKÁ
ਅਟਕਾਉ,AṬKÁU
ਅਟਕਲ,AṬKAL
ਅਟਕਾਊ,AṬKÁÚ
ਅਟਕਾਉਣਾ,AṬKÁUṈÁ
ਆਤਮਾ,ÁTMÁ
ਅਤੋਲ,ATOL
ਅਤਰੇਓਂ,ATREUṆ
ਅਟਸਟਾ,AṬSAṬÁ
ਅਟਸਠਾ,AṬSAṬHÁ
ਅਤੱ,ATT
ਅਟਾੱ,AṬṬÁ
ਆਟਾੱ,ÁṬṬÁ
ਅੱਠ,AṬṬH
ਅਠੱਮੀ,AṬṬHMÍ
ਅੱਠੇਂ,AṬṬHEṆ
ਅੱਠੋਂ,AṬṬHOṆ
ਅੱਟੀ,AṬṬÍ
ਅਟੱਣਾ,AṬṬṈÁ
ਅਟੁੱਟ,AṬUṬṬ
ਆਉ,ÁU
ਆਉਭਗਤ,ÁUBHAGAT
ਆਉਭਾਗਤ,ÁUBHÁGAT
ਔਚਟਜਾਣਾ,AUCHAṬ-JÁṈÁ
ਔਚਟਣਾ,AUCHAṬṈÁ
ਔਡਾੱ,AUḌÁ
ਔਧ,AUDH
ਔਢਾ,AUḌHÁ
ਔਗਣ,AUGAṈ
ਔਗਾਣ,AUGÁṈ
ਔਗਾਣੀ,AUGÁṈÍ
ਔਗਾਨਣ,AUGÁNAṈ
ਔਗਤ,AUGAT
ਔਘਡ਼,AUGHAṚ
ਔਘੀ,AUGHÍ
ਔਗੁਣ,AUGUṈ
ਔਜਾਰ,AUJÁR
ਔਜਡ਼,AUJHAṚ
ਔਕਡ਼,AUKAṚ
ਔਕਤ,AUKAT
ਔਕਾਤ,AUKÁT
ਔਖ,AUKH
ਔਖਾ,AUKHÁ
ਔਖਦ,AUKHAD
ਔਖਦੀ,AUKHADÍ
ਔਖਤ,AUKHAT
ਔਖੀ,AUKHÍ
ਔਲ,AUL
ਆਉਲਾ,ÁULÁ
ਔਲਾਂਘ,AULÁṆGH
ਔਲੀ,AULÍ
ਔਲੀਯਾ,AULÍYÁ
ਔਲੋਂ,AULON
ਆਉਣ,ÁUṈ
ਔਂ,AUṆ
ਆਉਣਾ,ÁUṈÁ
ਔਂਸਰ,AUṆSAR
ਔਂਸੀ,AUṆSÍ
ਔਂਤ,AUṆT
ਔਂਤ੍ਰਾ,AUṆTARÁ
ਔਤ੍ਰੀ,AUṆTARÍ
ਔਡ਼,AUṚ
ਔਡ਼ਣਾ,AUṚṈÁ
ਔਸ,AUS
ਔਸਾਣ,AUSÁṈ
ਔਸਰ,AUSAR
ਔਸਟਣਾ,AUSTĀṈÁ
ਔਸਟਾਉਣਾ,AUSṬÁUṈÁ
ਔਤ,AUT
ਔਤਾ੍,AUTARÁ
ਔਤੀ੍,AUTRÍ
ਔਟਲਜਾਣਾ,AUṬALJÁṈÁ
ਔਟਲਣਾ,AUṬALṈÁ
ਔਤਾਰ,AUTÁR
ਔਤਰਕ,AUTARAK
ਔਤਾਰੀ,AUTÁRÍ
ਔਤਰੀ,AUTÁRÍ
ਔਤਾਰੀਜੀ,AUTÁRÍJÍ
ਔਟਾਉਣਾ,AUṬÁUṈÁ
ਔਟਣਾ,AUṬṈÁ
ਆਵਾ,ÁVÁ
ਅਵਗਤ,AVAGAT
ਅਵੈਡ਼ਾ,AVAIṚÁ
ਅਵਸੱ,AVASS
ਅਵੇਰ,AVER
ਅਵੇਰਾ,AVERÁ
ਅਵੇਰੇ,AVERE
ਅਵਿਚਾਰ,AVICHÁR
ਅਵਿਚਾਰਣ,AVICHÁRAṈ
ਅਵਿਚਾਰੀ,AVICHÁRÍ
ਅਵਿਦਿੱਯਾ,AVIDDIYÁ
ਅਵਿਨਾਸ,AVINÁS
ਅਵਿਨਾਸੀ,AVINÁSÍ
ਅਵਿਰਥਾ,AVIRTHÁ
ਅਵਿਰੋਧ,AVIRODH
ਅਵਿਰੋਧਣ,AVIRODHAṈ
